"tourney_name","link_name","surface","location","draw_size","tourney_level","tourney_date","match_num","p1_seed","p1_entry","p1_name","p1_rank","p1_rank_pts","p1_country","p1_birthdate","p1_age","p1_turned_pro","p1_wgt","p1_hgt","p1_hand","p1_backhand","p2_seed","p2_entry","p2_name","p2_rank","p2_rank_pts","p2_country","p2_birthdate","p2_age","p2_turned_pro","p2_wgt","p2_hgt","p2_hand","p2_backhand","score","best_of","round","minutes","p1_ace","p1_df","p1_svpt","p1_1stIn","p1_1stWon","p1_2ndWon","p1_SvGms","p1_bpSaved","p1_bpFaced","p2_ace","p2_df","p2_svpt","p2_1stIn","p2_1stWon","p2_2ndWon","p2_SvGms","p2_bpSaved","p2_bpFaced"
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,300,1,,"Rafael Nadal",2,7945,"ESP",1986-06-03,33.171800137,2001,85,185,"L","Two-Handed",8,,"Daniil Medvedev",10,2625,"RUS",1996-02-11,23.47980835,2014,81,198,"R","Two-Handed","6-3 6-0",3,"Final",70,0,1,46,33,27,8,8,1,1,5,5,49,31,19,6,7,4,8
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,299,1,,"Rafael Nadal",2,7945,"ESP",1986-06-03,33.171800137,2001,85,185,"L","Two-Handed",16,,"Gael Monfils",19,1770,"FRA",1986-09-01,32.925393566,2004,80,193,"R","Two-Handed","(W/O)",3,"Semifinals",,,,,,,,,,,,,,,,,,,
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,298,8,,"Daniil Medvedev",10,2625,"RUS",1996-02-11,23.47980835,2014,81,198,"R","Two-Handed",6,,"Karen Khachanov",8,2890,"RUS",1996-05-21,23.206023272,2013,88,198,"R","Two-Handed","6-1 7-6(6)",3,"Semifinals",83,4,4,55,29,17,11,9,2,6,4,5,65,37,33,11,10,0,2
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,297,1,,"Rafael Nadal",2,7945,"ESP",1986-06-03,33.171800137,2001,85,185,"L","Two-Handed",7,,"Fabio Fognini",9,2625,"ITA",1987-05-24,32.199863107,2004,74,178,"R","Two-Handed","2-6 6-1 6-2",3,"Quarterfinals",117,7,1,70,40,35,11,12,3,5,4,2,67,47,29,8,11,2,6
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,296,8,,"Daniil Medvedev",10,2625,"RUS",1996-02-11,23.47980835,2014,81,198,"R","Two-Handed",2,,"Dominic Thiem",4,4595,"AUT",1993-09-03,25.919233402,2011,82,185,"R","One-Handed","6-3 6-1",3,"Quarterfinals",56,6,2,39,23,22,10,8,0,0,1,2,44,29,17,5,8,5,9
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,295,6,,"Karen Khachanov",8,2890,"RUS",1996-05-21,23.206023272,2013,88,198,"R","Two-Handed",3,,"Alexander Zverev",5,4415,"GER",1997-04-20,22.291581109,2013,86,198,"R","Two-Handed","6-3 6-3",3,"Quarterfinals",74,5,0,51,33,27,11,9,2,2,3,8,53,34,24,6,9,5,8
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,294,16,,"Gael Monfils",19,1770,"FRA",1986-09-01,32.925393566,2004,80,193,"R","Two-Handed",10,,"Roberto Bautista Agut",13,2215,"ESP",1988-04-14,31.307323751,2005,76,183,"R","Two-Handed","6-4 3-6 7-6(2)",3,"Quarterfinals",144,6,3,116,76,58,18,15,8,10,2,0,91,64,49,17,16,7,9
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,293,1,,"Rafael Nadal",2,7945,"ESP",1986-06-03,33.171800137,2001,85,185,"L","Two-Handed",,,"Guido Pella",24,1560,"ARG",1990-05-17,29.2183436,2007,83,185,"L","Two-Handed","6-3 6-4",3,"Round of 16",101,7,2,63,41,32,11,10,2,3,5,1,57,38,26,8,9,7,10
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,292,2,,"Dominic Thiem",4,4595,"AUT",1993-09-03,25.919233402,2011,82,185,"R","One-Handed",14,,"Marin Cilic",17,1940,"CRO",1988-09-28,30.850102669,2005,89,198,"R","Two-Handed","7-6(7) 6-4",3,"Round of 16",113,3,1,68,41,32,16,11,3,4,11,4,81,49,37,20,11,9,9
"Coupe Rogers","Montreal","Hard","Montreal, Canada",56,"CATEGORYSTAMPS_1000",2019-08-05,291,3,,"Alexander Zverev",5,4415,"GER",1997-04-20,22.291581109,2013,86,198,"R","Two-Handed",13,,"Nikoloz Basilashvili",16,1975,"GEO",1992-02-23,27.446954141,2008,79,185,"R","Two-Handed","7-5 5-7 7-6(5)",3,"Round of 16",164,3,4,133,81,51,27,18,13,18,15,14,100,67,49,13,18,0,5
